analyste financier;commerce,finance;L'analyste financier / financireprocde à l'évaluation des sociétés sous tous leurs aspects : rentabilité, ressources humaines, restructurations à opérer...Il rencontre régulirement les responsables de la communication financire, les directeurs financiers, directeurs généraux des sociétés du secteur qu'il étudie.Quand il intervient sur les marchés, il peut conseiller les vendeurs de la salle des marchés qui répercutent ses conseils à leurs clients afin de mieux orienter leurs ordres d'achat ou de vente.S'il travaille dans une banque, il peut exercer un rôle de conseil aux gestionnaires de portefeuilles sur l'opportunité d'effectuer tel ou tel placement. Dans les deux cas, il suit de trs prs les salles de marchés.Quand il travaille dans le cadre de rachats d'entreprises ou de conseil aux dirigeants en place, il effectue des études beaucoup plus approfondies.Les analystes financiers se partagent entre des analystes, environ 40 %, et des gestionnaires de portefeuilles. Un tiers des analystes exerce dans les sociétés de bourse, un autre tiers dans les banques et le dernier tiers dans divers secteurs comme les bureaux d'études indépendants.La quasi-totalité des analystes exerce en région parisienne, au sein d'un sige social.Le métier est aujourd'hui trs féminisé.;https://www.cidj.com//sites/default/files/styles/full_metier/public/2018-10/analyste-financier.jpg?itok=LYrsbng7
consultant;commerce,consulting;"Un consultant peut tre généraliste ou spécialisé dans un domaine particulier. Toutefois, il agit toujours selon un processus d'expertise répondant à des normes précises.
En vue d'améliorer le fonctionnement d'une entreprise, il va :
analyser les besoins et les attentes de son client par l'écoute et la réalisation d'études ;
réaliser un pré-diagnostic afin d'évaluer la faisabilité et l'opportunité de sa mission ;
définir les moyens financiers et humains nécessaires au bon déroulement de sa mission ;
mettre en place des méthodes de travail en organisant un comité de pilotage et des groupes de travail ;
définir des indicateurs afin d'assurer le suivi de sa mission ;
analyser la situation existante au sein de l'entreprise ;
élaborer différents scénarios répondant au problme pour lequel il a été missionné, et les présenter à son client ;
planifier et mettre en place le scénario choisi ;
réaliser une étude sur sa mission en vue de permettre le meilleur retour d'expérience possible.";https://www.cidj.com//sites/default/files/styles/full_metier/public/2018-08/expertise-immobilier-mike-stezycki-unsplash.jpg?itok=AznayslA
chargé ressources humaines;commerce,humain,RH;La fonction de directeur des ressources humaines recouvre trois missions principales.Tout d'abord, la gestion du personnel. Le DRH est chargé de définir et mettre en oeuvre une politique de recrutement, de promouvoir la gestion des carrires (mobilité, affectations, formations) et de proposer une politique de rémunérations.Ensuite, le management social. Il développe les motivations par l'élaboration d'un projet d'entreprise ou des différentes formes de participation des salariés (intéressement).Il met en oeuvre, lui mme ou ses collaborateurs, la législation du travail en vigueur et négocie avec les représentants du personnel au sein des instances représentatives (CE, syndicats).La communication interne enfin. Il est garant de la qualité du climat social en recherchant l'adhésion du personnel aux objectifs de l'entreprise et en diffusant les informations d'ordre économique et social liées à ces objectifs.Homme ou femme de dialogue et d'écoute, il doit tre capable de concilier différents points de vue et tre un excellent négociateur.La conduite et l'animation de réunion n'ont pas de secrets pour le DRH. La gestion des conflits individuels et collectifs est une partie importante de son activité.Comme tous les cadres dirigeants d'entreprise, il effectue de nombreux déplacements. En certaines circonstances ses horaires sont élastiques : grande disponibilité indispensable. Il parle couramment l'anglais, voire une seconde langue étrangre.Suivant la taille et la nature de l'entreprise le DRH exerce des responsabilités plus ou moins larges, mais toujours en relation étroite avec la direction générale.Dans tous les cas, le DRH, mme issu d'une grande école, n'accde à ce poste qu'aprs une solide expérience professionnelle.     ;https://edito.regionsjob.com/observatoire-metier/wp-content/uploads/sites/4/2015/11/consultant-fonctionnel.jpg
chef de produit marketing;commerce,consulting;Le travail d'un chef de produit dans l'industrie se décline en trois grandes séquences successives : avant tout, les études de marché, puis la définition des caractéristiques du produit et, pour finir, le suivi du processus de vente et de son évolution.Le chef de produit commande des études de marché au service commercial pour connaître les besoins et les données relatives aux produits concurrents ou comparables.Il épluche une documentation technique et économique, participe aux expositions et salons pour s'informer des tendances et nouveautés éventuelles. Il définit ensuite le produit à créer pour coller au plus prs à la demande.Avec le service de com', le chef produit fixe ensuite une stratégie publicitaire pour lancer son produit, décliné ou non en une gamme. Chargé d'un budget publicité spécifique, il informe les commerciaux et leur précise les arguments de vente à privilégier.Dans l'industrie, le chef de produit participe également au choix et au type de distribution.Dans le grand commerce et la distribution, le chef de produit est en relation avec l'industrie cliente pour négocier les conditions d'achat pour l'ensemble de l'enseigne. Aprs tests et essais, il présente ses conclusions aux responsables des ventes.Les industries des biens de consommation, les centrales d'achat et la vente par correspondance sont les secteurs qui emploient le plus de chefs de produit. Le poste implique des horaires trs souples et de nombreux déplacements.Enfin, les relations avec les services en amont et en aval sont quotidiens : recherche-développement, production, achats, marketing et force de vente, fournisseursÉ     ;https://www.cidj.com//sites/default/files/styles/full_metier/public/2018-08/chef-de-produit-marketing-karine-germain-unsplash.jpg?itok=D3cLwl50
contrôleur de gestion;commerce,finance;Le contrôleur de gestion réalise des budgets prévisionnels et élabore les outils nécessaires au suivi des résultats (tableaux de bord, indicateurs).En terme de prévision, le contrôleur de gestion participe à la définition des objectifs d'un service ou d'un département, à partir des éléments donnés par les services commerciaux.Il met ensuite au point un projet de plan avec les responsables opérationnels : niveau de production à atteindre, moyens financiers, humains et techniques à mettre en oeuvre. Il peut aussi tre amené à réaliser des études économiques et financires.En terme de contrôle des résultats obtenus, c'est lui qui élabore ses outils. Ce sont les tableaux de bord qui font apparaître l'ensemble des résultats de l'entreprise (production, activité commerciale, stocks, rentabilité des investissements).Ces tableaux sont réalisés à partir de programmes de collecte et de traitement des informations comptables et financires mis au point avec des ingénieurs.Toutes ces interventions du contrôleur de gestion servent notamment à l'analyse des écarts existant entre les chiffres de prévisions et les chiffres réalisés. Il fait remonter l'information jusqu'à la direction générale et préconise des solutions pour remédier aux difficultés rencontrées.Les missions du contrôleur de gestion sont plus ou moins étendues suivant l'entreprise dans laquelle il travaille.Dans les PME, le contrôle de gestion est assuré en mme temps que d'autres fonctions comme la comptabilité, les finances, l'administration, la gestion du personnel ou l'informatique.Dans les grandes entreprises, la fonction est plus spécialisée. Le contrôleur de gestion doit avoir une solide formation comptable et financire et une bonne maîtrise de l'informatique. Il est amené à se déplacer notamment dans les filiales des entreprises.     ;https://www.cidj.com//sites/default/files/styles/full_metier/public/2018-08/controle-de-gestion-arto-fotolia.jpg?itok=On0vnMo9
commercial;commerce,vente,sale;"Le commercial ou VRP propose des produits adaptés au besoin de la clientle. Homme ou femme de terrain, il rencontre régulirement les clients de l'entreprise, analyse leurs problmes et leurs besoins en termes de produit, de prix, de services.Il doit également prospecter : c'est-à-dire rencontrer et présenter ses produits à d'éventuels futurs clients. Bien connaître son produit est donc indispensable, on ne vend bien que ce qu'on aime.Le commercial peut travailler simultanément pour plusieurs sociétés; il est alors multicartes.Rencontrer sa clientle, établir une bonne communication, lui présenter de nouveaux produits, tre incollable sur les caractéristiques, les prix et les performances de ces derniers. Cette profession exige une grande mobilité et une disponibilité sans faille.Le temps passé dans sa voiture est parfois considérable. Un trs bon relationnel est, bien sér, indispensable.     ";https://www.cidj.com//sites/default/files/styles/full_metier/public/2018-08/commercial-VRP-Xandronico-Fotolia.jpg?itok=-Z2xPPs5
vendeur export;commerce,vente,sale;Le vendeur export / la vendeuse expert peut travailler dans deux grands domaines :- la vente de produits de grande consommation ou de biens d'équipement. Dans ce cas le rôle du vendeur export est d'informer ses clients sur les caractéristiques des produits ou services.- la vente de produits ou services à forte technicité ou valeur ajoutée. Dans ce cas le vendeur expert doit posséder des compétences techniques.Dans la vente de produits de grande consommation, le vendeur export prospecte, sur un secteur géographique précis ou en direction d'un marché ciblé, une clientle potentielle d'entreprises ou de réseaux de revendeurs.Il visite les clients répertoriés dans le but de connaître leurs besoins, les informer et les conseiller afin de développer les ventes. Il négocie, prend des commandes, assure le suivi des ventes, anime éventuellement le réseau de distribution.Dans la vente de produits à forte valeur ajoutée, le vendeur export doit avoir une double compétence technique et commerciale pour prospecter des éventuels clients et promouvoir des produits ou services sur un marché ciblé.Il analyse les besoins du client et propose des solutions appropriées, toujours sous l'angle technique et commercial. Puis, il établit un cahier des charges, assure l'interface entre le client et la direction export de son entreprise. Il négocie les termes du contrat et le suivi des opérations.Le vendeur export doit posséder une forte culture générale et commerciale. Il doit comprendre et s'adapter aux marchés, à la culture, aux traditions, au cadre de vie des pays o il prospecte. Le plus souvent il doit en parler la langue. En outre, une parfaite maîtrise de l'anglais est nécessaire.Ouverture d'esprit, réactivité, capacité d'observation, d'écoute et de négociation, qualité relationnelle, rigueur et sens de l'organisation, aptitude au nomadisme sont les qualités qui font un bon vendeur export.     ;https://www.cidj.com//sites/default/files/styles/full_metier/public/2018-08/vendeur-export-fotolia.jpg?itok=4db16Bgj
acheteur;commerce,acheteur;L'acheteur / l'acheteuse peut travailler dans la distribution, l'industrie ou les services habillement, bois, papier, pharmacie, plastique, distribution, etc.Dans le service public, il travaille dans une union des groupements d'achats publics (UGAP) qui est aussi une centrale d'achat. Un acheteur public (fonctionnaire) peut aussi travailler pour un service d'achats d'une collectivité territoriale. Il peut tre spécialisé dans un type de produits.Dans la grande distribution, l'acheteur en centrale d'achat a pour mission de jouer sur les quantités de commandes pour obtenir les meilleurs prix auprs des fournisseurs tout en veillant au niveau de la qualité. C'est lui qui permet à l'ensemble des magasins affiliés à une centrale d'achat d'obtenir les meilleures marges.Mais l'acheteur ne se contente pas de dénicher le produit au meilleur prix, il doit aussi aussi de plus en plus s'intéresser à d'autres paramtres comme le packaging, les qualités environnementales du produit, l'attrait pour le public, la technologie...Intuitif, l'acheteur a un sens aigu de l'analyse, de l'air du temps et des modes et est bien entendu un habile négociateur.L'acheteur international prospecte les fournisseurs d'un continent à l'autre. Lui aussi veille au meilleur rapport qualité/prix. Son art de la négociation ne suffit pas sans connaissances appropriées. Il doit maîtriser des langues, les arcanes du transport international, les problmes d'assurance et les réglementations douanires. Son expérience doit lui permettre aussi d'évaluer les risques de toute nature.Ces deux professionnels travaillent en concertation avec les chefs des ventes et les chefs de magasin. Dans certains cas, les horaires peuvent tre trs lourds. Surtout en début d'année dans la distribution lors de la négociation des contrats annuels ou en période de pointe de production dans l'industrie.     ;https://www.cidj.com//sites/default/files/styles/full_metier/public/2018-08/Acheteur-mains-Marco-Scisetti-Fotolia.jpg?itok=UkiiLF-k
auditeur;commerce,finance;L'auditeur / l'auditrice externe estun expert en gestion, management et comptabilité dont la mission premire est de vérifier la régularité des comptes d'une entreprise.Dans la majorité des cas il ne fait pas partie des salariés de l'entreprise qu'il passe au crible. Il est membre d'un cabinet d'audit dont la raison sociale est d'examiner, la Ç santé È des entreprises qui le sollicitent. Seules les trs grandes entreprises s'équipent d'un service d'audit interne.Il évalue leur situation globale ou celle d'un service en particulier et contrôle leurs comptes. L'audit opre en équipe et sa mission doit respecter un calendrier précis. Il travaille avec deux sources d'investigation : les personnels de direction et responsables des différents services et tous les documents comptables exposant les recettes et les dépenses.Avec ces derniers, il radiographie de prs le budget de l'entreprise (investissements, amortissements, salaires). Avec les premiers, il s'informe sur l'organigramme, les procédures de décision, l'articulation entre les services et sur le ou les processus de production (services ou biens matériels). Il peut ainsi identifier les grippages éventuels et les risques qu'ils peuvent avoir sur les finances.Tout cet examen a aussi pour objet de vérifier la conformité avec les normes et la législation en vigueur. L'audit rédige une synthse résultant de ses investigations et dresse un diagnostic qu'il remet à l'entreprise cliente. Bien qu'il ne s'immisce pas dans la gestion de l'entreprise, l'auditeur financier peut préconiser conseils, recommandations ou plans d'action à la direction pour résoudre certains problmes identifiés.L'auditeur externe doit avoir des qualités de rigueur, de synthse et d'analyse. En relation avec les équipes dirigeantes, il doit aussi faire preuve d'une certaine aisance relationnelle, de qualités d'écoute et d'adaptabilité.L'auditeur externeest souvent amené à se déplacer dans des filiales d'entreprises en France ou à l'étranger. En fonction des délais qui lui sont impartis ses horaires sont fréquemmentÉ élastiques.     ;https://www.cidj.com//sites/default/files/styles/full_metier/public/2018-08/auditeur-externe.jpg?itok=NKFjnOAZ
chargé / chargée d'études en marketing;commerce,marketing,communication;Le chargé d'études marketing / la chargée d'études marketing détermine le type d'étude appropriée (qualitative ou quantitative) et le choix du mode de recueil des données le plus adapté : grille d'entretien, questionnaire, enqute, échantillonnage de population.Il encadre la réalisation de l'étude. Les délais et le budget de l'enqute sont toujours précisés et le chargé d'étude soit s'y plier. La mise en forme des résultats obtenus est également l'une des tâches du chargé d'études marketing.Il rédige un rapport de synthse clair o il expose les résultats de l'étude et propose des recommandations à son client ou à son chef de marketing.Suite aux conclusions de son étude, il peut proposer, par exemple, un changement en matire de prix, ou de circuit de distribution. Mais la décision ne lui appartient pas.Le chargé d'études marketing travaille soit en entreprise, soit en cabinet consultant, soit en agence de communication.Il peut s'occuper de l'ensemble des données concernant un marché ou au contraire se spécialiser dans les études de prix ou dans les statistiques.     ;https://www.cidj.com//sites/default/files/styles/full_metier/public/2018-08/charge-d-etudes-marketing-vizafoto-fotolia.jpg?itok=Ue0gefj8
